Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
199,1774612097895,1618,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,36.842105865478516,45,47.36842346191406,45,15.000000953674316,0,50,0,5,95,55,0,4.761904716491699,45,10,0,0,8192,7674,80760,67,48,64436.520263671875,41916.87322998047,1628.689208984375,33293438976,8589930496,7070724096,1078120448
199,1774612098095,1618,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,45,47.619049072265625,35,0,57.142860412597656,10,45,33.333335876464844,10.526315689086914,50,80,9.523809432983398,0,10,0,0,0,8192,7674,79967,67,60,64440.5,41919.67370605469,1628.689208984375,33293438976,8589930496,7062593536,1078120448
200,1774612098295,1618,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,42.85714340209961,40,40,40,45,30.000001907348633,0,25,4.761904716491699,10,0,68.42105102539063,40,20,0,0,0,8192,7674,79959,67,56,64444.28045654297,41922.310485839844,1628.689208984375,33293438976,8589930496,7081086976,1078120448
199,1774612098495,1618,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,31.57894515991211,50,45,10,0,45,10.526315689086914,15.000000953674316,0,52.38095474243164,4.761904716491699,90.47618865966797,31.57894515991211,25,10,0,0,8192,7674,80071,67,44,64448.091064453125,41924.96813964844,1628.689208984375,33293438976,8589930496,7075205120,1078120448
200,1774612098695,1618,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,40,35,0,30.000001907348633,10,0,85.71428680419922,20,42.85714340209961,5.555555820465088,0,42.85714340209961,38.095237731933594,25,5,25,0,8192,7674,79361,68,58,64451.905517578125,41927.6259765625,1628.689208984375,33293438976,8589930496,7072514048,1078120448
199,1774612098895,1618,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,25,80,0,5.263157844543457,0,0,52.6315803527832,20,40,47.619049072265625,0,40,5.263157844543457,21.052631378173828,15.000000953674316,40,0,8192,7674,79066,67,47,64455.626525878906,41930.20684814453,1628.689208984375,33293438976,8589930496,7069102080,1078120448
199,1774612099095,1618,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,47.36842346191406,55,0,47.619049072265625,10,36.842105865478516,30.000001907348633,30.000001907348633,10.526315689086914,47.36842346191406,35,10.526315689086914,23.809524536132813,20,5,50,0,8192,7674,80192,67,48,64459.70916748047,41933.093994140625,1628.689208984375,33293438976,8589930496,7069982720,1078116352
199,1774612099295,1618,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,45,31.57894515991211,5,36.842105865478516,0,19.047618865966797,20,15.789472579956055,0,45,52.6315803527832,25,30.000001907348633,30.000001907348633,0,80,0,8192,7674,79837,67,59,64463.67510986328,41935.884521484375,1628.689208984375,33293438976,8589930496,7056175104,1078116352
199,1774612099496,1618,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,30.000001907348633,61.904762268066406,15.000000953674316,0,15.000000953674316,25,35,30.000001907348633,26.3157901763916,40,0,20,5,65,14.285715103149414,21.052631378173828,0,8192,7674,79160,67,54,64467.41223144531,41938.4755859375,1628.689208984375,33293438976,8589930496,7074787328,1078116352
199,1774612099696,1618,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,0,0,38.88888931274414,0,20,0,55,25,0,40,33.333335876464844,36.842105865478516,45,65,0,40,0,8192,7674,79567,68,37,64471.135192871094,41941.05743408203,1628.689208984375,33293438976,8589930496,7081521152,1078116352
